date,cost,date,log_return,market_return,market_value,portfolio_value,price_CASH,price_CN000063,price_CN000768,price_CN600763,price_CN601857,price_CSI300,rate_of_return,reward,steps,weight_CASH,weight_CN000063,weight_CN000768,weight_CN600763,weight_CN601857,weight_CSI300,weights_mean,weights_std
2020-04-12 16:00:00,0.0,1586707200.0,0.0,1.0059103071689606,1.0059103071689606,1.0,1.0,0.9440626502037048,1.0410317182540894,1.047895073890686,0.9976581335067749,1.0048142671585083,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.372677996249965
2020-04-13 16:00:00,0.0024999998370185497,1586793600.0,-0.0025031298041022316,0.9986538390318552,1.0045561899759952,0.9975000001629815,1.0,0.9969871044158936,0.9971846342086792,0.9935795664787292,1.0,1.0041717290878296,-0.0024999998370185406,-9.933054778183459e-06,2,0.0,-0.20380400121212006,-0.13724644482135773,0.48999348282814026,0.02333083190023899,0.14562517404556274,0.052983175963163376,0.22560067474842072
2020-04-14 16:00:00,2.9049549909984928e-05,1586880000.0,0.008642793921818099,0.9965446293354034,1.0010850759862133,1.0061585511035156,1.0,0.9871569275856018,0.9915302395820618,1.0123480558395386,0.995305061340332,0.9929274916648865,0.008680251568039532,3.429680127705595e-05,3,0.0,-0.20379148423671722,-0.1372891217470169,0.4896736443042755,0.023702912032604218,0.14554284512996674,0.05297313258051872,0.22548732161521912
2020-04-15 16:00:00,4.784335760136955e-05,1586966400.0,0.021141204782864072,1.014892448981603,1.015993684406582,1.0276564017213332,1.0,1.0237245559692383,1.0102505683898926,1.0539721250534058,0.9882076382637024,1.013199806213379,0.021366265380579952,8.389366977327013e-05,4,0.0,-0.20376738905906677,-0.13729432225227356,0.489412397146225,0.02402433566749096,0.1455015391111374,0.05297942832112312,0.22538940608501434
2020-04-16 16:00:00,4.000662704533799e-05,1587052800.0,-0.0037422331036869134,1.0079794526100159,1.0241007578633798,1.0238178583830255,1.0,0.9905307292938232,1.0321307182312012,0.9907656908035278,1.0143197774887085,1.0201297998428345,-0.0037352400392564045,-1.4850131363836958e-05,5,0.0,-0.20383678376674652,-0.13747704029083252,0.4900480806827545,0.023352475836873055,0.14528563618659973,0.05289539322257042,0.22563326358795166
2020-04-19 16:00:00,4.2815865383328726e-05,1587312000.0,-0.010192386009595128,1.0085128446420033,1.0328187685128287,1.0134357098590507,1.0,1.0188679695129395,1.0114692449569702,0.9835380911827087,1.0164706707000732,1.0207310914993286,-0.010140620657244526,-4.0445976228552094e-05,6,0.0,-0.20385390520095825,-0.1375192403793335,0.49018189311027527,0.023198332637548447,0.1452466994524002,0.05287562683224678,0.22568635642528534
2020-04-20 16:00:00,6.006208842778311e-05,1587398400.0,-0.015051477944795845,1.0110177000363667,1.0441980558962327,0.9982962247476002,1.0,1.0471605062484741,0.9956803321838379,0.9808012247085571,1.0231481790542603,1.0193159580230713,-0.014938772103813225,-5.9728087082523194e-05,7,0.0,-0.20387211441993713,-0.13754843175411224,0.490342378616333,0.023009350523352623,0.14522774517536163,0.052859824150800705,0.22574861347675323
2020-04-21 16:00:00,0.00013400270699798913,1587484800.0,-0.03453024391310741,1.0393665929635365,1.0853045757360158,0.9644131708182972,1.0,1.0525819063186646,1.0997830629348755,0.9592822194099426,1.067873239517212,1.056679129600525,-0.033940881563355174,-0.00013702477743296593,8,0.0,-0.20385390520095825,-0.13753820955753326,0.49055832624435425,0.022800244390964508,0.1452493518590927,0.05286930128931999,0.22581958770751953
2020-04-22 16:00:00,3.434750242138665e-05,1587571200.0,-0.005190162737447584,1.0169753432273865,1.1037279934153876,0.9594206761337613,1.0,1.0159050226211548,1.0705127716064453,1.0136691331863403,0.9957627058029175,1.006002426147461,-0.005176717651315221,-2.0595883878760254e-05,9,0.0,-0.20366089046001434,-0.13742035627365112,0.4912271797657013,0.02233516238629818,0.14535640180110931,0.05297291278839111,0.22600030899047852
2020-04-23 16:00:00,5.168278211564729e-05,1587657600.0,-0.014160943117236409,1.0199643274148305,1.1257631804528463,0.9459301180505654,1.0,1.0154355764389038,1.095808506011963,0.9987741112709045,0.993617057800293,1.016150712966919,-0.014061150044795356,-5.6194218719192095e-05,10,0.0,-0.2037597894668579,-0.13759998977184296,0.4910534918308258,0.02245025336742401,0.1451365351676941,0.05288007855415344,0.2259705513715744
2020-04-26 16:00:00,2.0849857700111922e-05,1587916800.0,0.012385646615038862,1.0142307082811992,1.1417835878675857,0.9577189307839848,1.0,1.023235559463501,1.0021016597747803,1.0310723781585693,1.0149892568588257,1.0139853954315186,0.012462667705004149,4.914939132951929e-05,11,0.0,-0.20380200445652008,-0.13768550753593445,0.4910033643245697,0.022479569539427757,0.1450294703245163,0.05283747985959053,0.2259664237499237
2020-04-27 16:00:00,4.5878641017750745e-05,1588003200.0,0.01130446320397083,0.9778724809487661,1.1165187497746596,0.9686068554512257,1.0,0.9537351131439209,0.961828887462616,0.9993107914924622,0.9704641699790955,0.981895923614502,0.011368601285064006,4.485898096813822e-05,12,0.0,-0.203887477517128,-0.1378369927406311,0.49085384607315063,0.022573135793209076,0.14484861493110657,0.05275852605700493,0.22594119608402252
2020-04-28 16:00:00,1.8837778346098114e-05,1588089600.0,-0.001272753230631294,1.013798713684082,1.1319252723257094,0.9673748420103184,1.0,1.0273698568344116,1.0200610160827637,1.007836937904358,1.0065218210220337,1.0210026502609253,-0.0012719437550680057,-5.0506080580606905e-06,13,0.0,-0.20402376353740692,-0.13809867203235626,0.49035459756851196,0.022995660081505775,0.14452733099460602,0.0526258610188961,0.22581136226654053
