episodes,steps,rewards,step
0,252.0,-6.980998935997249,252.0
1,252.0,0.8773478848170784,504.0
2,252.0,7.856441099465614,756.0
3,252.0,-4.974621573504075,1008.0
4,252.0,7.615859526552985,1260.0
5,252.0,13.632095760122954,1512.0
6,252.0,0.8400267122272753,1764.0
7,252.0,-1.2890604458556372,2016.0
8,252.0,23.667841734546037,2268.0
9,252.0,1.5272919226054393,2520.0
10,252.0,-1.2002239473388567,2772.0
11,252.0,-0.9941412644134999,3024.0
12,252.0,2.9617331528588617,3276.0
13,252.0,-1.7219578846422547,3528.0
14,252.0,-10.57378726919359,3780.0
15,252.0,3.2811227644474408,4032.0
16,252.0,-6.419378700116265,4284.0
17,252.0,-10.714395270820079,4536.0
18,252.0,-4.211519060719137,4788.0
19,252.0,-10.524700535888039,5040.0
20,252.0,0.8309915985562484,5292.0
21,252.0,-8.268372134658799,5544.0
22,252.0,-1.6729266103718048,5796.0
23,252.0,-7.985266502173492,6048.0
24,252.0,-2.9919867495720975,6300.0
25,252.0,-5.71692703230002,6552.0
26,252.0,-13.422158249683745,6804.0
27,252.0,-11.983084413551218,7056.0
28,252.0,3.1867413129562197,7308.0
29,252.0,-4.201743140707209,7560.0
30,252.0,-4.398055040351863,7812.0
31,252.0,0.44087629064558187,8064.0
32,252.0,-0.6807152491362156,8316.0
33,252.0,-21.9915686674775,8568.0
34,252.0,-10.919066902525698,8820.0
35,252.0,-9.770804969371904,9072.0
36,252.0,-2.6860696910575754,9324.0
37,252.0,-6.587437549708239,9576.0
38,252.0,1.945824401643966,9828.0
39,252.0,-0.9877970679368563,10080.0
40,252.0,1.9790148165613506,10332.0
41,252.0,3.1327255839257857,10584.0
42,252.0,-8.67259082805212,10836.0
43,252.0,5.441598651808358,11088.0
44,252.0,-1.8729532443308798,11340.0
45,252.0,-2.9750269163467093,11592.0
46,252.0,-3.8711419169761085,11844.0
47,252.0,-7.676162035066159,12096.0
48,252.0,-7.019419625984473,12348.0
49,252.0,-1.2173649977923697,12600.0
50,252.0,-4.581974120764821,12852.0
51,252.0,-7.29570707793926,13104.0
52,252.0,-3.3187425806586544,13356.0
53,252.0,-0.5268027837527314,13608.0
54,252.0,1.4577136760540421,13860.0
55,252.0,13.393119862082742,14112.0
56,252.0,-0.0017415430471522386,14364.0
57,252.0,2.0312862593010923,14616.0
58,252.0,-5.435490628989892,14868.0
59,252.0,-1.2383134293127385,15120.0
60,252.0,4.676328179463837,15372.0
61,252.0,27.30979869497467,15624.0
62,252.0,4.106926039802918,15876.0
63,252.0,-1.5695787538580905,16128.0
64,252.0,7.542564231745797,16380.0
65,252.0,-1.1683746467850673,16632.0
66,252.0,3.6748061719482816,16884.0
67,252.0,2.2373715078808707,17136.0
68,252.0,-14.957689270013972,17388.0
69,252.0,-1.995175501426735,17640.0
70,252.0,3.9096631754201243,17892.0
71,252.0,-3.7583803404842064,18144.0
72,252.0,-8.870812852566557,18396.0
73,252.0,-4.266812900910585,18648.0
74,252.0,18.95591498769637,18900.0
75,252.0,-6.265977067813885,19152.0
76,252.0,3.8806282282337983,19404.0
77,252.0,-4.528981878521563,19656.0
78,252.0,12.414006998405274,19908.0
79,252.0,-5.693692742490088,20160.0
80,252.0,-1.3216353844927444,20412.0
81,252.0,-0.8807308968770594,20664.0
82,252.0,-0.4369320187351872,20916.0
83,252.0,-6.6462004843714375,21168.0
84,252.0,-0.6039888930774243,21420.0
85,252.0,-1.6356770965276235,21672.0
86,252.0,1.2445469863223355,21924.0
87,252.0,2.766734982640627,22176.0
88,252.0,2.9104877229171295,22428.0
89,252.0,-9.116275784527275,22680.0
90,252.0,2.1168578513818472,22932.0
91,252.0,7.016142739754734,23184.0
92,252.0,22.653798997242433,23436.0
93,252.0,-0.9400582752600196,23688.0
94,252.0,-2.3809002567732334,23940.0
95,252.0,-9.216067899609463,24192.0
96,252.0,11.843301422747155,24444.0
97,252.0,-14.511049244436604,24696.0
98,252.0,-1.571909475100835,24948.0
99,252.0,-0.858675414112801,25200.0
100,252.0,22.67929766582223,25452.0
101,252.0,-0.6181553521989612,25704.0
102,252.0,-1.6286472751712522,25956.0
103,252.0,4.137326999937153,26208.0
104,252.0,-10.199732863121163,26460.0
105,252.0,-15.243784085461751,26712.0
106,252.0,-1.5840602847841003,26964.0
107,252.0,3.0782568475309566,27216.0
108,252.0,3.322709881281953,27468.0
109,252.0,2.1327414399479334,27720.0
110,252.0,-1.556992039746222,27972.0
111,252.0,12.918115919708228,28224.0
112,252.0,1.5056511024211512,28476.0
113,252.0,28.902550881964668,28728.0
114,252.0,0.3533419500381196,28980.0
115,252.0,-10.411795067913882,29232.0
116,252.0,29.094225810502362,29484.0
117,252.0,-1.1025500020888461,29736.0
118,252.0,20.072864855478713,29988.0
119,252.0,3.3655570086576914,30240.0
120,252.0,2.60284416642939,30492.0
121,252.0,5.758462313589684,30744.0
122,252.0,23.599116917658012,30996.0
123,252.0,1.0129337875261737,31248.0
124,252.0,-0.07423218312350643,31500.0
125,252.0,5.807598257143939,31752.0
126,252.0,-2.169297929570036,32004.0
127,252.0,-24.03178155053235,32256.0
128,252.0,23.588181516887676,32508.0
129,252.0,-2.3592377539449854,32760.0
130,252.0,-3.3121728689406766,33012.0
131,252.0,3.2016065402856912,33264.0
132,252.0,-2.530197694704624,33516.0
133,252.0,-4.837198397072295,33768.0
134,252.0,-2.5677111841039304,34020.0
135,252.0,-2.796418795254102,34272.0
136,252.0,2.1480709362574433,34524.0
137,252.0,29.728531244731954,34776.0
138,252.0,0.821582618880278,35028.0
139,252.0,-0.25141412657004103,35280.0
140,252.0,-3.0689950016003955,35532.0
141,252.0,-2.583794639666227,35784.0
142,252.0,2.7141260699847263,36036.0
143,252.0,31.11503534161547,36288.0
144,252.0,-0.39876531870946175,36540.0
145,252.0,19.59428144852087,36792.0
146,252.0,-25.150017751031136,37044.0
147,252.0,11.939440353947573,37296.0
148,252.0,32.87771321288959,37548.0
149,252.0,7.880752638669598,37800.0
150,252.0,-7.622751632513059,38052.0
151,252.0,-4.076388103638638,38304.0
152,252.0,-4.993782490823324,38556.0
153,252.0,15.457716542166116,38808.0
154,252.0,-2.8832856362671513,39060.0
155,252.0,-3.7274109973626595,39312.0
156,252.0,4.424653465341168,39564.0
157,252.0,-7.292146450451403,39816.0
158,252.0,-4.447524002774914,40068.0
159,252.0,1.0063610402579217,40320.0
160,252.0,-5.900085762676375,40572.0
161,252.0,20.661000764763063,40824.0
162,252.0,17.553180045104178,41076.0
163,252.0,-0.4571879468487647,41328.0
164,252.0,3.4172140847118517,41580.0
165,252.0,8.865491329492157,41832.0
166,252.0,-12.761351387657669,42084.0
167,252.0,2.109834649491404,42336.0
168,252.0,-4.326693752316076,42588.0
169,252.0,-5.923221505899261,42840.0
170,252.0,23.761544829999448,43092.0
171,252.0,1.898422172644027,43344.0
172,252.0,1.2814183286917529,43596.0
173,252.0,-25.172870446307755,43848.0
174,252.0,3.211702761837269,44100.0
175,252.0,1.5594873728843803,44352.0
176,252.0,36.4347050892939,44604.0
177,252.0,17.351243058469244,44856.0
178,252.0,-9.477882937022013,45108.0
179,252.0,-2.447624815983092,45360.0
180,252.0,3.2403843107319403,45612.0
181,252.0,-2.4647665336265647,45864.0
182,252.0,1.4837434688850788,46116.0
183,252.0,0.6293745129542836,46368.0
184,252.0,4.704695889904724,46620.0
185,252.0,6.9680655672224745,46872.0
186,252.0,-9.29441443349768,47124.0
187,252.0,-4.347731475667397,47376.0
188,252.0,1.6552764251990102,47628.0
189,252.0,-5.212344686141105,47880.0
190,252.0,-1.2449186097757492,48132.0
191,252.0,21.957531963598296,48384.0
192,252.0,16.857009564869465,48636.0
193,252.0,-6.4907646167843085,48888.0
194,252.0,-8.62220107199122,49140.0
195,252.0,-1.4716094617336122,49392.0
196,252.0,-5.096400152729741,49644.0
197,252.0,-6.430825328012272,49896.0
198,252.0,1.4790547773369156,50148.0
199,252.0,6.238895276700785,50400.0
200,252.0,17.72975313858805,50652.0
201,252.0,-9.64572591572406,50904.0
202,252.0,27.50296924174949,51156.0
203,252.0,-3.150228386739146,51408.0
204,252.0,-0.14734619329763948,51660.0
205,252.0,-3.09513926995551,51912.0
206,252.0,1.7098634820123841,52164.0
207,252.0,-13.686024094812167,52416.0
208,252.0,1.2618738606829025,52668.0
209,252.0,0.3070166380320595,52920.0
210,252.0,3.1406327374459884,53172.0
211,252.0,4.199485958191742,53424.0
212,252.0,-4.95341111226212,53676.0
213,252.0,-4.229280328635467,53928.0
214,252.0,-21.90916322752634,54180.0
215,252.0,-13.935616138436629,54432.0
216,252.0,1.0521465901817133,54684.0
217,252.0,-2.2400110810576543,54936.0
218,252.0,-1.6635223940923531,55188.0
219,252.0,1.7971479667020622,55440.0
220,252.0,-1.6348477630497684,55692.0
221,252.0,-6.411381954261365,55944.0
222,252.0,0.034174441500671116,56196.0
223,252.0,26.39129591288189,56448.0
224,252.0,-1.8821284403319962,56700.0
225,252.0,-0.804721320522379,56952.0
226,252.0,-3.3450370959933062,57204.0
227,252.0,-6.411030466575756,57456.0
228,252.0,4.094192912265393,57708.0
229,252.0,-1.908459594028682,57960.0
230,252.0,3.201181510087821,58212.0
231,252.0,-8.118336104628,58464.0
232,252.0,10.859788066066297,58716.0
233,252.0,-1.0481252070052878,58968.0
234,252.0,0.7712957955099908,59220.0
235,252.0,14.859805218116877,59472.0
236,252.0,20.06979371087279,59724.0
237,252.0,16.197510553633755,59976.0
238,252.0,2.776425025579146,60228.0
239,252.0,-4.2878822578340525,60480.0
240,252.0,0.6935231641952322,60732.0
241,252.0,-6.752794777250197,60984.0
242,252.0,-2.0405015747422235,61236.0
243,252.0,-6.016983107942385,61488.0
244,252.0,-28.01846176003504,61740.0
245,252.0,27.26602042096367,61992.0
246,252.0,1.9385381351244486,62244.0
247,252.0,2.570975334258102,62496.0
248,252.0,2.600136440045521,62748.0
249,252.0,5.360989750224144,63000.0
250,252.0,-13.348838759391644,63252.0
251,252.0,3.5997114922641145,63504.0
252,252.0,-3.5043942475281415,63756.0
253,252.0,1.7967656365296967,64008.0
254,252.0,0.6081254242408147,64260.0
255,252.0,3.8139657267895135,64512.0
256,252.0,-13.475506020594725,64764.0
257,252.0,-1.0109503548504581,65016.0
258,252.0,-4.897238137970305,65268.0
259,252.0,-5.613509795424987,65520.0
260,252.0,28.305175497823686,65772.0
261,252.0,-10.588430085511987,66024.0
262,252.0,23.27268131644112,66276.0
263,252.0,-0.163348564719618,66528.0
264,252.0,-20.999501043044607,66780.0
265,252.0,4.734622672833596,67032.0
266,252.0,3.193249056422794,67284.0
267,252.0,-10.775157628265053,67536.0
268,252.0,4.986992396062456,67788.0
269,252.0,-5.726569380539542,68040.0
