date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
2004/6/25,1.0123,1.0807,0.8646,0.9017,--,67.6135,41.2018,8.892,3.0011,39.4069
2004/6/28,0.8116,0.8286,0.8116,0.8116,-9.988,2.723,37.0865,8.0039,2.7013,35.471
2004/6/29,0.7306,0.7306,0.7306,0.7306,-9.9867,1.3203,33.3828,7.2045,2.4316,31.9286
2004/6/30,0.6578,0.7205,0.6578,0.6856,-6.1637,20.726,31.3252,6.7605,2.2817,29.9606
2004/7/1,0.6809,0.6971,0.6719,0.6762,-1.3663,12.5158,30.8972,6.6681,2.2505,29.5513
2004/7/2,0.6762,0.6881,0.6124,0.6369,-5.8071,14.2899,29.103,6.2809,2.1198,27.8352
2004/7/5,0.6304,0.6463,0.6167,0.6391,0.3394,6.7266,29.2017,6.3022,2.127,27.9296
2004/7/6,0.6412,0.6575,0.6312,0.643,0.6201,6.4646,29.3828,6.3413,2.1402,28.1028
2004/7/7,0.6412,0.6412,0.6171,0.6225,-3.1933,4.9972,28.4445,6.1388,2.0719,27.2054
2004/7/8,0.6185,0.6362,0.616,0.6304,1.2731,2.7592,28.8067,6.2169,2.0982,27.5518
2004/7/9,0.6351,0.6549,0.6236,0.6297,-0.1143,4.1781,28.7738,6.2098,2.0958,27.5203
2004/7/12,0.625,0.625,0.584,0.5919,-6.0069,6.8084,27.0454,5.8368,1.9699,25.8672
2004/7/13,0.5807,0.6052,0.5692,0.6052,2.252,4.0818,27.6544,5.9683,2.0143,26.4497
2004/7/14,0.6016,0.6088,0.5818,0.6085,0.5357,3.6715,27.8026,6.0002,2.0251,26.5914
2004/7/15,0.6056,0.6207,0.5948,0.602,-1.0657,3.5872,27.5063,5.9363,2.0035,26.308
2004/7/16,0.5951,0.6366,0.593,0.6268,4.1293,7.7036,28.6421,6.1814,2.0862,27.3943
2004/7/19,0.6265,0.6603,0.6211,0.6502,3.7356,8.9691,29.712,6.4123,2.1642,28.4177
2004/7/20,0.6484,0.66,0.6394,0.6434,-1.0526,6.3088,29.3993,6.3448,2.1414,28.1186
2004/7/21,0.6463,0.6542,0.6337,0.634,-1.4558,3.5945,28.9713,6.2525,2.1102,27.7092
