date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
2007/4/27,6.2651,8.2923,6.0406,7.7345,--,72.4237,116.8752,13.6835,24.4238,-25.462
2007/4/30,6.959,7.3943,6.959,7.0338,-9.0589,30.9351,106.2875,12.4439,22.2113,-23.1554
2007/5/8,7.0746,7.1767,6.8025,7.1154,1.1605,17.5632,109.5783,12.8292,22.899,-23.8723
2007/5/9,7.1222,7.8297,6.9794,7.7957,9.5602,26.1642,120.0542,14.0557,25.0882,-26.1546
2007/5/10,7.7957,7.8705,7.5372,7.7957,0,18.6691,120.0542,14.0557,25.0882,-26.1546
2007/5/11,7.6869,8.129,7.5508,7.9726,2.2688,15.5393,122.778,14.3746,25.6574,-26.748
2007/5/14,7.8161,8.027,7.7209,7.8705,-1.2799,12.3751,121.2066,14.1906,25.329,-26.4056
2007/5/15,7.8705,7.9317,7.3535,7.4148,-5.7908,12.2173,114.1877,13.3688,23.8622,-24.8765
2007/5/16,7.3331,7.5236,7.1563,7.4624,0.6422,6.4389,114.921,13.4547,24.0155,-25.0363
2007/5/17,7.4624,7.5848,7.3467,7.4896,0.3646,6.5323,115.3401,13.5038,24.103,-25.1276
2007/5/18,7.476,7.476,7.2855,7.3535,-1.8165,5.7629,113.2449,13.2585,23.6652,-24.6711
2007/5/21,7.095,7.3467,7.0202,7.2379,-1.5726,6.8408,111.464,13.05,23.293,-24.2832
2007/5/22,7.2379,7.3807,7.1699,7.2311,-0.094,6.5677,111.3592,13.0377,23.2711,-24.2603
2007/5/23,7.2515,7.3399,7.1971,7.2991,0.9407,6.6187,112.4068,13.1603,23.4901,-24.4886
2007/5/24,7.3467,7.5848,7.2855,7.3875,1.2116,9.159,113.7687,13.3198,23.7747,-24.7852
2007/5/25,7.3467,7.3807,7.2447,7.2719,-1.5654,5.83,111.9878,13.1113,23.4025,-24.3973
2007/5/28,7.2719,7.3875,7.2175,7.3535,1.1225,8.3455,113.2449,13.2585,23.6652,-24.6711
2007/5/29,7.4692,7.5168,7.3399,7.4284,1.0176,9.7231,114.3972,13.3934,23.906,-24.9222
2007/5/30,7.0746,7.3195,6.7753,6.8774,-7.4176,9.1288,105.9117,12.3999,22.1328,-23.0736
2007/5/31,6.8706,7.3943,6.7209,7.2515,5.4402,10.1334,111.6735,13.0745,23.3368,-24.3288
2007/6/1,7.2107,7.4624,7.1086,7.1359,-1.5947,8.7973,109.8926,12.866,22.9647,-23.9408
2007/6/4,7.0746,7.0746,6.4216,6.4216,-10.0095,6.9237,98.8929,11.5782,20.666,-21.5445
2007/6/5,6.2583,6.6325,5.9182,6.6189,3.072,6.4544,101.9309,11.9338,21.3009,-22.2063
2007/6/6,6.6665,6.7209,6.4896,6.5644,-0.8222,4.4638,101.0928,11.8357,21.1257,-22.0237
2007/6/7,6.5985,6.6393,6.5304,6.6325,1.0363,4.1746,102.1404,11.9584,21.3447,-22.2519
2007/6/8,6.6325,7.0542,6.5168,6.959,4.9231,8.2454,107.1688,12.5471,22.3955,-23.3474
2007/6/11,7.0746,7.0746,6.7889,6.925,-0.4888,7.583,106.645,12.4858,22.286,-23.2333
2007/6/12,6.9318,6.9318,6.5916,6.8161,-1.5717,4.7723,104.9689,12.2895,21.9357,-22.8682
2007/6/13,6.8161,7.0814,6.8025,7.0066,2.7944,7.5196,107.9022,12.6329,22.5487,-23.5072
2007/6/14,7.0066,7.0134,6.7413,6.8025,-2.9126,4.3874,104.7594,12.265,21.8919,-22.8225
2007/6/15,6.7209,7.0066,6.6869,6.8365,0.5,4.0806,105.2832,12.3263,22.0014,-22.9366
2007/6/18,6.9726,7.1222,6.8706,6.9658,1.8905,6.5465,107.2736,12.5594,22.4174,-23.3703
2007/6/19,6.9318,7.061,6.7345,6.8774,-1.2695,4.0513,105.9117,12.3999,22.1328,-23.0736
2007/6/20,6.8706,6.8706,6.6529,6.6733,-2.9674,4.8879,102.7689,12.032,21.476,-22.3889
2007/6/21,6.6665,6.9318,6.578,6.7685,1.4271,3.4751,104.2356,12.2037,21.7825,-22.7084
2007/6/22,6.7617,6.9114,6.4964,6.5712,-2.9146,4.4242,101.1976,11.848,21.1476,-22.0465
2007/6/25,6.5848,6.7821,6.3808,6.4216,-2.2774,3.8208,98.8929,11.5782,20.666,-21.5445
2007/6/26,6.3195,6.4896,6.2243,6.4284,0.1059,2.6307,98.9976,11.5904,20.6879,-21.5673
2007/6/27,6.4352,6.6529,6.3263,6.6257,3.0688,4.0594,102.0356,11.9461,21.3228,-22.2291
2007/6/28,6.6801,6.7617,6.3604,6.3672,-3.9014,3.7854,98.0548,11.48,20.4909,-21.3619
2007/6/29,6.2447,6.4488,6.1427,6.2583,-1.7094,2.5016,96.3786,11.2838,20.1406,-20.9967
2007/7/2,6.2311,6.3263,6.0542,6.2447,-0.2174,2.1339,96.1691,11.2593,20.0968,-20.9511
2007/7/3,6.2515,6.3808,6.2447,6.3332,1.4161,1.8267,97.531,11.4187,20.3814,-21.2478
2007/7/4,6.3468,6.4012,6.1427,6.1835,-2.3631,1.4126,95.2263,11.1489,19.8998,-20.7457
2007/7/5,6.0815,6.1631,5.7821,5.789,-6.3806,2.7404,89.1502,10.4375,18.63,-19.422
2007/7/6,5.789,6.0542,5.7413,6.0338,4.2303,2.3432,92.9216,10.879,19.4182,-20.2436
2007/7/9,6.0406,6.1495,5.9794,6.0815,0.7892,2.1551,93.6549,10.9649,19.5714,-20.4033
2007/7/10,6.1223,6.3536,6.0883,6.1495,1.1186,2.9194,94.7025,11.0876,19.7903,-20.6316
2007/7/11,6.1563,6.2311,6.0679,6.1563,0.1106,1.4048,94.8072,11.0998,19.8122,-20.6544
2007/7/12,6.1767,6.2855,6.1427,6.2175,0.9945,1.4561,95.7501,11.2102,20.0092,-20.8598
2007/7/13,6.2175,6.2583,6.1223,6.1563,-0.9847,0.9175,94.8072,11.0998,19.8122,-20.6544
2007/7/16,6.2719,6.3059,6.1223,6.1563,0,1.3325,94.8072,11.0998,19.8122,-20.6544
2007/7/17,6.1563,6.4624,6.1563,6.3944,3.8674,3.4548,98.4738,11.5291,20.5784,-21.4532
2007/7/18,6.3944,6.5848,6.3263,6.4692,1.1702,4.0813,99.6262,11.664,20.8192,-21.7042
2007/7/19,6.4692,6.5168,6.3468,6.4012,-1.0515,1.7686,98.5786,11.5414,20.6003,-21.476
2007/7/20,6.3944,6.6665,6.3536,6.6529,3.932,4.0017,102.4547,11.9952,21.4103,-22.3204
2007/7/23,6.7549,6.9862,6.7549,6.8093,2.3517,6.9356,104.8641,12.2773,21.9138,-22.8453
2007/7/24,6.8365,6.8978,6.7345,6.7617,-0.6993,3.7427,104.1308,12.1914,21.7606,-22.6856
2007/7/25,6.7617,7.4352,6.7481,7.4352,9.9598,8.9411,114.502,13.4056,23.9279,-24.945
2007/7/26,7.5236,7.7413,7.4011,7.4488,0.183,12.7067,114.7115,13.4302,23.9717,-24.9907
2007/7/27,7.3535,7.476,7.2447,7.3467,-1.3699,5.3411,113.1401,13.2462,23.6433,-24.6483
2007/7/30,7.2379,7.4148,7.0406,7.3535,0.0926,10.5167,113.2449,13.2585,23.6652,-24.6711
2007/7/31,7.2379,7.3127,7.0474,7.1359,-2.9602,5.9519,109.8926,12.866,22.9647,-23.9408
2007/8/1,7.1699,7.3263,6.8025,6.8297,-4.2898,5.7515,105.1784,12.3141,21.9795,-22.9138
2007/8/2,6.9046,7.0542,6.7345,6.993,2.3904,4.1234,107.6926,12.6084,22.5049,-23.4615
2007/8/3,6.993,7.3467,6.993,7.2719,3.9883,6.3004,111.9878,13.1113,23.4025,-24.3973
