date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
2004/1/30,2.2234,2.5336,2.2169,2.4528,--,50.5929,34.4042,8.673,0.6948,40.7489
2004/2/2,2.6823,2.6985,2.5207,2.6985,10.0132,20.7589,37.8492,9.5414,0.7643,44.8291
2004/2/3,2.7469,2.8213,2.6758,2.7469,1.7964,17.5994,38.5291,9.7128,0.7781,45.6344
2004/2/4,2.7469,2.8439,2.7081,2.8083,2.2353,9.6177,39.3904,9.9299,0.7955,46.6545
2004/2/5,2.8116,2.9731,2.7792,2.9731,5.8688,10.8965,41.7021,10.5127,0.8421,49.3926
2004/2/6,2.9699,3.0572,2.8891,2.915,-1.9565,11.0897,40.8862,10.307,0.8257,48.4262
2004/2/9,2.915,2.9667,2.8697,2.9538,1.3304,6.8338,41.4301,10.4441,0.8367,49.0704
2004/2/10,2.9408,2.957,2.8439,2.8633,-3.0635,8.6715,40.1609,10.1242,0.811,47.5672
2004/2/11,2.8633,2.9344,2.8277,2.9182,1.9187,6.0751,40.9315,10.3184,0.8266,48.4799
2004/2/12,2.9182,2.9344,2.7986,2.8148,-3.5437,7.1807,39.481,9.9528,0.7973,46.7619
2004/2/13,2.8116,2.8245,2.7405,2.776,-1.3777,4.905,38.9371,9.8156,0.7863,46.1176
2004/2/16,2.7695,2.8406,2.7663,2.8245,1.7462,4.0981,39.617,9.987,0.8,46.9229
2004/2/17,2.8277,2.8697,2.7857,2.8083,-0.5721,6.6161,39.3904,9.9299,0.7955,46.6545
2004/2/18,2.8083,2.8083,2.8083,2.8083,0,--,39.3904,9.9299,0.7955,46.6545
2004/2/19,2.8891,2.8956,2.818,2.8309,0.8055,6.1057,39.7077,10.0099,0.8019,47.0303
2004/2/20,2.8309,2.8406,2.7146,2.7631,-2.3973,6.6499,38.7558,9.7699,0.7826,45.9029
2004/2/23,2.7631,2.7695,2.65,2.6597,-3.7427,6.2763,37.3053,9.4043,0.7534,44.1849
2004/2/24,2.6597,2.7405,2.6597,2.7372,2.9162,7.4974,38.3931,9.6785,0.7753,45.4734
2004/2/25,2.7437,2.7534,2.6112,2.6274,-4.0142,3.6708,36.852,9.29,0.7442,43.648
2004/2/26,2.6177,2.6467,2.5692,2.6338,0.246,3.0954,36.9426,9.3129,0.746,43.7554
2004/2/27,2.6338,2.6694,2.6177,2.637,0.1227,2.0478,36.988,9.3243,0.7469,43.8091
2004/3/1,2.637,2.6629,2.5692,2.6467,0.3676,2.7231,37.1239,9.3586,0.7497,43.9701
2004/3/2,2.65,2.6952,2.6015,2.6758,1.0989,3.4338,37.5319,9.4614,0.7579,44.4533
2004/3/3,2.6758,2.7243,2.6015,2.6209,-2.0531,3.4073,36.7613,9.2672,0.7424,43.5406
2004/3/4,2.608,2.6274,2.5886,2.6144,-0.2466,2.1001,36.6707,9.2443,0.7405,43.4333
2004/3/5,2.6144,2.6338,2.5627,2.566,-1.8541,2.1062,35.9907,9.0729,0.7268,42.6279
2004/3/8,2.553,2.5627,2.4755,2.4819,-3.2746,2.8904,34.8122,8.7758,0.703,41.2321
2004/3/9,2.4722,2.5272,2.4658,2.4722,-0.3906,1.7656,34.6762,8.7415,0.7003,41.071
2004/3/10,2.4755,2.553,2.4755,2.553,3.268,1.9137,35.8094,9.0272,0.7231,42.4132
2004/3/11,2.5595,2.5724,2.5304,2.5401,-0.5063,1.904,35.6281,8.9815,0.7195,42.1984
2004/3/12,2.5433,2.553,2.4981,2.5175,-0.8906,1.4795,35.3108,8.9015,0.7131,41.8226
2004/3/15,2.5175,2.6144,2.5078,2.5983,3.2092,3.2536,36.444,9.1872,0.736,43.1648
2004/3/16,2.6047,2.6177,2.5886,2.5983,0,2.0523,36.444,9.1872,0.736,43.1648
